title   text
elämä-jatkuu...#blue    "Out of every phase. Cleanup complete. After I came back to my homeplace I went outside her uni waiting for her to see what the hell shall happen with this case. I met some of my brother's friends who do know her and told me that probably she is done with her studies and that she was there many days ago. I thought it was useless to stay anymore and went away. I made some calls of course no answer classic stuff. Days passed by. 52 days complete disappearance. Absolutely nothing like if she's dead killed or smth.After X-mas I wrote an enormous letter telling her everything plus that this is my final and conclusive move. This was my swan song. I wrote to her literally everything regarding how much I love her how much I want to be with her and what plans I have in my mind for a better life. My cousin read this shit and she told me ""Will you marry me?"" - I said inside of myself that if it can't bend her nothing will.During the year change I prayed to god Jesus and Holy Mary for her. To protect her and keep her alright. I thought that she is dead or in deep crisis or in a melancholic state.Yesterday my brother called me. She called him out of the blue. She told him that she is at the same city that I am now since X-mas... That she is still with him and she is planning to travel to my homeplace at a date near my brother's birthday. She is moving now to a new house with her ""boy-toy"" and that she shall continue her studies and stay with him. Nice. Masterpiece.She also said; ""I shall call your brother at a later stage and talk to him"". Oh really??? After all these things happened? Seriously?Unfortunately for her I am out of this game. I'm sick and tired. I am tired of trying to find a person who's disappearing for months randomly. I am tired of loving someone that is telling me that she wants to abandon her misery crying into my arms and complaining about her pointless life with him but with no will or power to finish this kind of destruction like I did with my ex. She has sentenced her own self to eternal misery. I'm out. Besides that I have changed my phonenumber. She had her chances and opportunities to save herself 4 years now. I tried my very best. I've been waiting looking for her trying for her doing the very best of me for her until today. There is nothing else to be done at this stage and probably never again.I love her so much. But I also have self-respect and dignity to my own self. Recovery shall take long time I am absolutely sure about this. But there is no other way. I have to deal with it no matter what.I feel so dead inside. But... I have to go. It's over."
tuntematon-ilmatila#blue        "In a few days I am heading back to the place that I left full of sadness and wreckage. Luckily this shall last only a few days. Then I shall be back to the ""cage"" where I shall belong for the rest 8 months of my life. What remained is just an empty flat dozens of dead memories a pile of shitty reactions and explosions and a black feeling that seems to fade away at a dead-slow pace after all...I returned back to my ""old habits"" that I left behind since 2005. I met a girl online who has serious health and mobility issues. Despite her problems she is withstanding everything trying to find a way to get away out of the same pinhole that she is trapped like me. The only difference is just that she wants to go to a country that is a neighbour comparing to mine. There are many triumphs that she has to accomplish in addition to multiple surgeries and physiotherapy sessions after that... Until the meeting point it's a warm online relationship that is interesting and soothing throughout these difficulties that I am heading to.There is a questionable interest by another girl who's nice and funny as a friend. But she is only up to temporary relationships and perhaps casual sex. I am not interested into this. Maybe I should consider this seriously. But I am not intending to use balsams nor balms to feel just happy for a few moments and then... what? Probably I shall visit her just for a cup of coffee and some nice chat though. This is okay as a matter of fact.There was also another situation that led to ""friendzoning"" here at the cage. I left it aside like many other similar cases.Few days ago I was stuck in Africa for 2 days regarding my duties. It was a really strange scenario plus a partially agonizing situation. Eventually everything was resolved without any further issues. At least I got some nice pictures and a few gifts too.Sometimes a big questionmark is hovering above my head regarding my future up to the skies. Also I am wondering why am I dealing myself to a girl that has serious health issues like my ex-girlfriend. I am constantly thinking that I am flying again around uncharted airspace. Just like the title of this page. I am trying my very best to be stabilized and secured the best way that I can. Besides it's also important to gain some extra money to keep as a backup in case of every scenario needed to participate or resolve in a way from now on...En garde..."
tappio-on-tullut-tapana...#blue I am licking the acid from the cracks of your lipstrying to soothe your painall these years that passed away have left me alonesearching for my breath to your dead selfI am asking for help from helpless handsthat are shaking to love and terroryou took in a wrong way my own pathwayand you are searching my light from stars that have faded awayYour absence is exhausting meand I can't get used to thatI feel like I am moving ahead but I am always reaching behindand this truth is killing meI am erasing the traces from our liesI am stumbling into silenceloss has become our habitand love has become an invisible scream...Transparent Lilies10/06/2012 - 01/04/2017R.I.P. ...
yksin-ii#blue   "Few days ago I travelled back to my homeplace. I had a strange but simultaneously intriguing idea to send SMS to this girl whom I last saw with my cousin and her friends just couple of days before my trip abroads. I told her that I do have a gift for her and we should meet for a coffee. She agreed immediately that was bit strange for me since this last month she didn't give to me any signs of life.So we met at a coffee place. From the very first moment that we sat down she was staring at me right through my eyes except that precise moment that she was describing me the loss of her father. All this meeting was very intense. After an hour we were holding hands to each other. She told me almost everything. That she was in love with a guy in Germany and she wanted to take revenge on him. That she is really worried about her extra weight that she has gained. That she wants to finish her studies. That she is waiting for an answer from her latest interview for work. That she has some bipolar issues that she is treating as necessary. I told her that I like her and i can't hide it. She replied to me ""let's take this at a slow pace"". All these things followed a long period of offering advice from my side on how she will become better and deal with all her problems.After some hours we left. While walking on the street she was explaining to me how to get a taxi from that place. I told her that I can manage. I hugged her then kissed her on her lips then hugged her again. We said goodbye. I walked home on foot completely lost in thoughts. After few hours I had to fly back due to duty...Now I am here thinking about her. I don't know why but I do feel a kind of ""hypotonic"" feeling. I am curious to find out what shall happen from now on regarding this case.One important note; I decided to go away regarding this situation with the girl who had mobility problems. She told me that she felt pressure regarding my messages. I apologized kindly and decided to leave it as is. Probably she is talking to somebody else or she is too sick to deal with this. I thought that it's good to keep her company since she is all the time alone at home. Who knows...Let's see what future shall reveal..."
alkanut-tai-kuollut%3f#blue     "Hm... this is interesting but even more questionmarks are popping up inside my head...Two days ago I sent her an sms regarding the diet specialist she wanted to attend. She replied to me by giving to me her skype address plus; ""Thank you but I don't know if i shall go eventually. Be well"". I told her to send me a message or call me in skype whenever she wants followed by an email regarding what happened my feelings and emotions in a good detail plus a picture of mine since i kissed her. No reply. Today I sent her the greatest news regarding my job (that from now on we will have 20 days duty and 8-10 days off at home applicable on 25th of March). She sent me a skype message that she is all the time outdoors that my news are very good and that when I shall be back in my homeplace to send her a message to go out and talk. She also asked me to bring some hand cremes for her friend if possible. Her words were very short. She didn't even give me a clue or a hint what the hell is going on.I hope this discussion shall not be in a mode ""I do see you as a friend and bla bla bla..."". On this occasion I shall be completely unpredictable.So the question... Has it started or died instead?Coming up soon..."
pimeä-yö...#blue        Another quiet and dark night at the base. Listening to some dream trance/progressive trance to manage all these feelings that are conquering me at the moment. Some minutes ago I visited a colleague's room and smoked a few cigarettes. I feel agony regarding what shall happen with her. Time is passing by too slowly it feels like it's stopped. My cousin is saying horrible words about her and I truly wonder why. I already asked her but I got no answer. I can see her online in skype but she is not saying a word not even hello how are you. I am wondering into the dark. Into this dark night in the middle of nowhere. Fuck...
oikein-ennuste...#blue  "This week was fine. 6 days back at home. Travelled to my homeplace and relaxed a little bit. I sent her a message; ""I have a suggestion for you; I can cook something that you like we can eat and then go out for a drink or coffee"". She told me that her cousins are there and she can't come today. I proposed her regarding a coffee near her home so that she didn't need to go away from her cousins for a long time. She told me ""I can't today I shall send you a message about this"". I told her that on 2nd I am leaving back to my Ops. As I predicted her message never came...My cousin told me something wise. ""If what you are living is not a two-way situation fuck it. If you have to think when you should send a message and why she didn't send any fuck it. When two people like and want each other be sure that there are no words such as ""if""...So this story has ended unfortunately with just a kiss and a disappearance. Cat-woman is busy now using her whiplash... Batman has disappeared in the shadows under a pitch-black night..."
%3f!%3f!%3f#blue        "Yesterday while transiting at a nearby airport near my homeplace I called a friend of her who asked me for a specific handcream that is hard to find elsewhere that I bought it and I shall give it to her. After a few minutes a message came from ""the person"" saying ""I heard that you are coming. I want to meet you we need to talk kisses..."" I replied to her that my offer to cook a meal and eat at my place and afterwards we could go out for a drink was still valid. She told me ""I prefer to have a coffee instead"" Where? There? Roger copy that.In some minutes we shall meet at a cafeteria near her house.Yea... right. After so many days of disappearance plus the fact that she used stupid excuses not the fact that I called her friend to offer her gift triggered her to call me... great. Just great. Bullshit at it's prime time. I am considering seriously the idea to end this nonsense before it gets out of control. I've had enough. I shall try to do it gently with a touch of velvet and silk. I hope she won't trigger my nerves and patience. Sogoku's Zen activated...Besides there is another person that I like at this stage. No title today. Just nonsense... Let's see what the hell shall happen today."
sekaisuus#blue  "The more I am walking the messier it becomes...People say that your guilts are following you everywhere like shadows in the dark. I have made a choice to remove many people from my life including my girlfriend who was a part of my life since 10th of July 2012. Also many people that were pretending to be my friends (or they were actually my friends but in a wrong way and approach - same thing sums up as an end). The reason why I eventually removed her was that she followed the pathway that my ""friends"" believed too. All done all gone. It doesn't matter anymore. There is no point on looking back. Besides... they didn't even believe that I would be back in the skies. And the ones who did wanted to take advantage from this. Touche. Queen is down. Soldiers are down. King's alone. For now.It's been a bit more than one year since I broke up with her. Actually 13 months. She was saying many bad things including this; ""After me chaos will come"". I think it's time to prove her wrong on this too.I am alone in a fucking hotel in the middle of fucking nowhere. This time inside of a city. But who cares. Makes no difference after all.One of my colleagues is seriously sick. I saw her picture from the hospital and I burst out of tears. Despite our differences she didn't deserve to live that. She is dominant during her work. Too dominant at times. But she was one of my best holding my line during last year in that fucking base there. There is a possibility that she shall never come back to work again. Shit. This is too much.I am in love with one girl who came to us during February. It started as a cliche. Met each other flew together took her to dinner twice. During the last night at the previous base i was staying in her room until early morning. She gave me a box of cookies to keep with me during my flights back. Since then we are just texting each other. I miss her so much. I have told her one million things. Actually I have bombarded her. Her answers are smiles. She also told me ""I don't know what to say"". Today she called me ""sweet fruit"". Slowly slowly she is bending. I am sure that something really dark was or is happening at the backstage.There are also some few more girls that are hovering around. But I took the decision just to keep it in friendly matters. No more.Besides... maybe my ex was right. I am hell of a deep in chaos. But okay. It's fixable. I suppose.En garde..."
tuhjassa-huoneessa#blue "Shit...This morning I was supposed to be Positioned to another base. This was something that I personally organized so that I could see her... I arranged an early morning bus. The bus never came. I had to deal with the company to provide me a train trip so I had to change 2 trains to reach that place. The first segment was also really delayed. I had to change using the upcoming route which was also delayed by 30 mins... Eventually I managed to do a 300km distance in more that 8 hours...I went at her room. She came RIGHT BEHIND ME. I was stunned. She asked me ""what are you doing here"". We went to her room. I hugged her. She was short and brief. She asked me the same question over and over. I burst out in laughter. I was pissed off so much that it turned into a laughter. HOW THE FUCK are you asking me such question since we are talking for more than 2 months straight knowing all my feelings and you have no FUCKING clue why the FUCK I am here?I gave her my gift. A heart-shaped pendant. She accepted it and told me thank you. Then she told me ""Let's go and get some food"". We went downstairs and got some food. I told her that I came for her. She didn't say a word. She told me that she was planning to tide up her room and fall asleep. She sent me msg to meet during afternoon. We went for coffee and food at the city. We had casual chat similar to the one when I first met her. But nothing special. We went back at the hotel. The elevator was packed full of people inside. I kissed her on the forehead for goodnight. She told me that she will write to me if she is awake.Tomorrow my last day the day after tomorrow flying back home for a week.I am now in my empty room wondering what the FUCK happened and how the FUCK shall I manage to remove all my feelings for her.Goddammit..."
unelmani...#blue        "Back to the base since 12th of May. These days were pretty warm to hot mixed with plenty of rain and thunderstorms too.I am now listening to Aurosonic. I never expected that after PPK there could be another band that would perform some dream trance/dream dance music better than them. Haha. THERE IS. And I was surprisingly amazed. Their music is beyond imagination. My soul is healing when I'm listening to them. Especially when travelling somewhere by train or plane...I am in love with a black girl. It's the very first time that's happening to me. No offence nor any direction or racism towards black people. It's just it never happened to me before. Her beauty is magnetic. She is a newcomer here...She is a tough nut despite her age. She had a boyfriend who treated her in a bad way. She was pretty much pissed about it. I have a feeling that this might be a tough obstacle towards my way to be with her.We went altogether plus some other colleagues walking around the city. Today I went out with her just the two of us. We went to an Italian restaurant. Definitely I paid for everything. She was surprised. She told me next time she shall pay. I agreed with her since she was so strict about it...We were walking back to the hotel telling her stories from my crazy childhood. She was laughing a lot. Every time we are going together we are laughing like small kids. Sometimes we are both trolling each other. Our mottos are ""Dead Frog"" and ""Drugs"". She is laughing like crazy when I am telling these two phrases. Sometimes she is even slapping me or pushing me really hard when I am trolling her too much. She is a badass. But she is also apologizing about this. Well...I don't know what my next steps should be. I can't sleep right now. We were texting each other some minutes ago. She was trolling me not to dream about her :PWell... Let's see what wheel of fortune shall reveal regarding this case. Seems a tough one. Do or do not. There is no try..."
tämä-kuvitteellinen-rakkaus...#blue     You know I tried so hard to love you... I tried so hard to believe... Thought if I could love for the two of us you'll wake up one day to see... This imaginary love...
väsynyt...#blue "She sent me a message that she needed help regarding her luggage towards the train station. I met her and helped her. We had several discussions about things. Few hours ago she asked me at the reception in front of everyone if my messages to her had a ""different"" meaning. Of course I told her not to take them in a bad way (what the hell should I say in front of everyone...)...When we reached the train station I helped her with everything. I also borrowed her 20 euros since her train was leaving very soon. She was asking my bank account etc. I told her ""No goodbyes. Until we meet again"".When she boarded the train I gave her a silver heart-shaped pendant. I told her again same thing ""Until We Meet Again""...She was sending me messages afterwards telling me the same question. I answered to her ""Why do you have to put signs and placards when someone cares about you?"" She was telling me ""I don't deserve your gift""... I told her ""never say such things again whenever you want talk to me I'm here"".One part of myself is missing her. But... I don't think there's much I can do. It depends now on her... After we meet again. But I suppose it won't happen soon...Tomorrow I am going back home. I am tired. Mostly mentally and emotionally. I am thinking the idea of buying a huge bottle of Bacardi and make 2lt of Mojito in a bucket full of ice plus a huge Cuban cigar. Then visit the closest beach nearby and live like a Football Manager... Fuck everything I'm out..."
kaaos-tai-rauha%3f#blue "It has been long time since my last message in a bottle. I have been battling myself into a stormy relationship which is still active.I am walking around the edge again. I found a new place in the skies right now around Scandic skies. My life is stormy and restless most of the time.There's a new girl who appeared in my life like a bomb falling from the skies. She was a newcomer and had an interest in me. At first I didn't pay that much attention since she was extremely pretty thinking inside of myself ""this level is just impossible"". Yet despite the fact that there are so many handsome men around me she chose to approach me instead. This was highlighted during a phase where we had a funny discussion with a colleague regarding who's gonna keep extra water she replied to him ""g"" is going to give me. I was stunned. That was purely unexpected.We had our first date under the radar 3 days ago. She was dressed like a charm. Blue trousers and white top which was marking her beauty but without being exposed. Just the way I adore. It was just like she was reading my thoughts.We visited the local mall she was intrigued by handbags. Then walking around the place taking a bunch of photos. While we were walking together I was telling her few stuff from my personal life. She was very aggressive regarding emotions and relationships. Her bias was very aggressive against such talks. I decided to move away regarding such subjects. I was merely shocked by that reaction. I was also shocked by her physical reaction grabbing my arm and squeezing it while she was talking about a person who made her life like hell. It was a normal reaction yet unexpected for a first date. I can't say that I didn't like. I was intrigued by that. Maybe I am a perv who knows haha ^^ - Finally we reached a bistro. I paid everything despite the fact that she was worried about the price. We had enormous conversations regarding extraordinary aspects like space travel aliens parallel universes teleportation etc. - Interesting. But still more interesting the fact that she was looking at me all the time playing with her hair unstoppably. Still her signals are mixed. It feels like she is trying to hide the fact that she likes me. But again I am confused a bit since she was changing these signs at times.We came back she wanted to buy few stuff at a local supermarket. That place didn't accept cash so I paid her stuff by card it wasn't a big deal. She was telling me all the time about giving me the money back etc. - I told her ""I wish in life that our only problems would be these ones"".We went back. While we were in the lift she was looking like a miracle. I resisted myself not to kiss her. I said goodbye by hugging her and promised to each other a new date at a later stage.These days we only texted each other our schedules are literally opposite for the time being. I am waiting for her reply regarding a meeting during Thursday.It's the very first time that I am dealing with such situation. As always I am playing with fire again. This time it's far worse than expected. Maybe it's a sign to end my current relationship immediately. Or it's just another failure in the end.Finally chaos or peace shall prevail? Let's see..."
das-virus#blue  Same conclusion. She just answered that she is already walking around the city that she didn't see my messages and that she didn't manage to answer my call. Haha. Very funny. DELETE. I am also planning to delete/block her phonenumber too. There is no point on wasting more time.I am alone in my homeplace fighting off the heat. There is a curvy girl at a clothes store who's really interesting. Despite the fact that she is short she was wearing a red dress... holy s%^t she was hot like fire! I've seen her 4 times since last june usually she was wearing shorts and a T-Shirt but now... mmm... interesting... I proposed her for a coffee when I'll have more time (a small excuse to keep her on fire ^^) she agreed about that... mmm... more interesting...For the time being I am keeping myself away from this hell. It's a strong temptation to keep myself away from this place...
vapaa-tila#blue At last silence. She decided to stop nagging / sending messages. Finally I suppose she got the message from my side.There are two interesting girls one working in a clothes shop and another one working in a small supermarket. The first one is really curvy and sexy. Second one is slim and rather tall a bit shadowy and introvert. I am still in question-mark which one should I choose to proceed with the approach. Besides I shall be away from the base until 27th so this is getting really interesting ^^I have thought also 2 scenarios I shall decide during the day (or not haha ^^)
kesä-on-loppunut!#blue  "At last. Summer is over. No more heatwaves. No more melting sunrays. No more dumbhead(s) publishing idiotic pictures under coconut trees and shit ^^ Fv*# YEAH!I know that originally I am coming from a hot country with millions of islands etc. etc. etc. - SUMMER IS OVER B1cH3ZzZzZ ! ! !Lying under the blankets when it's raining/snowing/icestorming outside. Long and cold nights under clear skies. Hot blueberry tea/coffee/hot chocolate with cognac while watching epic series like Fringe/Lord Of The Rings/The Hobbit... YEAH!I have been waiting this F&^$#@G winter so long. Ah yes. Halloween is coming!!! Forgot it completely!I am now resting at last hoping that this was my last rotation. It's been 4 months already. I think it's time to relax a bit.Definitely planning to learn German this time and master my knowledge in Finnish too. I think I might take an exam for a degree regarding the second one.GF sucks. I think I should break up ASAP. It's the very first time of my life that I am considering the idea of a ""relaxed relationship"". I am too tired of commitment/fighting for bullshit reasons/arguing/improving their life. I think it's an initial mistake of mine that needs an urgent correction and reassessment too.There is still this girl working in this clothes' shop nearby. I think she's the perfect choice for that. Funny confident and easy to handle. No complaints despite the fact that I am seeing her once per month. I am 1000% sure that she has a relationship and still wants to go out with me - this time she is eager regarding offering a drink (!)I am not planning anything yet. I am too tired of planning anymore. Just initiate my personal scenarios. Regarding girls... I'll be relaxed this time."
kadun-lopussa#blue      "After a night full of fights and arguments about fundamental stuff regarding a relationship she was pushing the ""eject"" button indirectly. I gave her time up to midnight to finalize her decision and rethink what the fuck I have been for her up to date.It's over. I don't believe that something shall change anymore. After 1 year and 3 months I do have to reconsider my life as a solo entity.Happy fucking autumn. 21st of September.I think I have done a proper mental and timely preparation for this impact to come. Sad and bitter truth.It's time to organize a trip for myself. I feel so fucked up. The good side of the story is that it's not the first time that I have to deal with this shit.Now she is sending me messages. Fuck my life..."
nahdään-huomenna#blue   During the final days I felt that I have to go home and surpass all shit with a black heart. I was fucking right I came back home and found everything painted black. Tremendous fights with my girlfriend the feeling of her supporting everybody turning me into a wrestling sack fucks me up. She is even supporting complete strangers in a way that her sisters won't be dissapointed. SO FUCKING WHAT?!I am fucking fed up of this shit. I sent a huge message that I want to be completely alone after finishing with all the businesses fixing up my home. Then travel to my homeplace. This is also a heartblacking situation since the love of my life is there howling herself with the heritage that her boy-toy got. It's tremendously amazing how someone can withstand eating shit with a shovel just by expecting her boyfriend to obtain probably 200k. I would definitely kill myself if I had to do that. Definitely without any doubts.The good side of the story is that soon I shall travel back to Finland for a few days to feel the cold merging with the black ice of my life. Like I said in the past winter is also a passage that is prevailing through the upcoming spring...So see you tomorrow. During my trips to ice cold and snow. FUCK YEA!
ymmärsin#blue   "Phase 2; the toughest one. I woke up really early in the morning. First thing to do is pack all her shitty stuff and set them aside to be given ASAP. At around 10am she called after a week. Definitely I didn't answer I am following her own words letter by letter ""there is nothing else to talk about"". Yet she is calling me again. I don't get this concept. Why should I? This is the house of the rising sun. Because I can. Pure nonsense...I can't believe that despite the fact that she was not living here all her shit fitted 2 full large suitcases plus 2 extra bags. What the fuck?! I found ALL her gifts. ALL her letters. ALL her clothes. Every single fucking thing that has connection to her.My initial plan is to travel to my homeplace for as long as the hell I want to. Then come back to my house call her and give her back everything. Then get the fuck outta here and travel to Finland. At last. After 2 fucking years I shall go back to my roots. My Finnish teacher wished me the best regarding Finland and why not find a blonde blue eyed Finn girl get married and have 5-6 kids. Tietysti ^^As the title said I understood. Definitely I am going out tonight drinking black beer listening to rock/metal music and tide up my fucking inner self. Get used to being solo again. There is a nice bar playing live music not really far from my apartment. I'll pile up and enjoy. Why not?"
legendat-menneisyydestä#blue    It's truly remarkable how the ones that entered your life and loved are leaving you behind and letting you haunted with all the memories and moments with them. It's unimaginable how stubbornness can reach to a point that everything ends and these people become complete strangers despite the fact that you shared some of your deepest and strongest feelings. The feeling is similar to leaving treasure boxes scattered around that might be opened one day as a remembrance or left behind forever.My journeys shall begin tomorrow morning. Long way to go 2 different countries and back to square one. Let's see what shall happen...I feel darkness embracing me. I shall get used to this disconnection though. Eventually she will become a complete stranger. The worst part of the story is that we are breaking up because she is following what everybody told her instead of her own will.Sometimes destiny is Joker laughing loudly. Strange but sometimes it's true....
läpinäkyvät-liljat#blue Back from my homeplace. I was hoping that few days at the village would soothe this storm. Both my feelings and senses are in a chaotic state. My mood is changing drastically and dramatically. I never expected that this controlled crash landing would eventually turn to an uncontrolled one. I am applying my best efforts to keep my emotions intact and try not to do anything stupid like calling her back or going to her place.Most of her things are already given away to friends or relatives. During my previous relationship I made a promise to myself to not keep a single thing from the person I am breaking up inside my fucking house. Since she doesn't even care about them why should I?Very few of them remaining at this stage placed inside her suitcase ready to be given back. Her invisible deadline is the day that I am flying to Finland. I do have one-way ticket. I have no clue yet nor idea when I am going to come back again. I will try my very best to stay there as long as possible. There is no reason to be here anymore.All this loss has become a habit anymore. And this love was a sick scream after all...Tomorrow I am going out with a colleague for a coffee. During Sunday I am going 5 people to a colleague's cottage and enjoy some nights besides the fireplace drinking some fine wine and disconnecting from reality.Then my trip to Finland becomes imminent. The time is near. After 2 years at last I am going back to where everything started...
hylky#blue      "I am not quite sure about the exact day that we broke up. Was it during our last talk on the phone while I was visiting my cousin or by the last message saying ""there is nothing more to say between us"" (?!?!?) - Definitely I can't figure this out in a clear way.Anyway it's been approximately a month since the last time I had any news from her. I have no idea whether she is at her homeplace or here. I also have no clue if she is working at her previous boss who was probably the biggest jerk ever. I can't even understand the level of her self-destruction attitude and her low self-esteem by going back for the 3rd time (!!!) to a job that caused to her all her health problems up to today. I don't get it.Anyway what's making me grind my gears is the fact that she didn't even care to take her stuff from my house including her old cellphone and a flash drive that has all her exercises regarding her previous studies. How the fuck is that possible?! I already know that she has no copies nor any cloud backup since her laptop was completely dead in my hands-she threw a full glass of cola on the keyboard... shit....My feelings are also a complete wreckage. I postponed my trip to Finland for 20 days since I wanted to chill out a bit more. I am also thinking the idea of giving her last things back including her cabin bag at her home just ring the bell salute her as an aviator and just turn my back. Besides the following morning I shall be airborne...I am trying my very best to be patient up to that day. There are no interesting girls around these days. Maybe some colleagues but no I don't like the idea of mixing it in any case.I don't know. Maybe I will wait and see where the wreckage shall be thrown by the river of life..."
paranormaalinen-toiminta#blue   "At last I managed to find a friend who was ""absent"" and ""missing"" for more than 2 months. His father died during that time and he was involved to a married woman who had a child... ONLINE! Anyway he was brave enough to admit his ""fall"" and asked for help. He is a different person I was astonished by the result of his therapist...Guess what... He went to the shop that my ex is working right now by accident/mistake (the one that she was working for more than 10 years destroying her health 3 times for nothing...) - He had no idea that she was back there. The story was briefly something like this;-How are you? -Not good these things happened to my life I feel very sad but I am trying. -Where is your friend? -Even if you don't believe me it's been more than 2 months since the last time that I saw him (which was true). -I sent him a message (she didn't even tell him that she wrote to me ""there is nothing more to say nor discuss anymore"") I called him twice he didn't answer so I let it go I am not going to hunt him down. Then she was telling him about a friend of her who had a relationship with a married guy for 8 (!goddammit!) fucking years and that you should continue with her (REALLY?!!? with a WOMAN WHO'S FUCKING MARRIED WITH A CHILD?!?! FUCKING SERIOUSLY?!?!) and that you never know what would have happened...She also told him to come this Friday to give him back my stuff...WHAT THE FUCKING FUCK? ONE FUCKING MONTH OF ABSENCE WHILE SHE WAS TELLING ME THAT SHE LOVES ME AND BULLSHIT LIKE THIS SHE DIDN'T EVEN FUCKING TELL ME WHEN SHE IS COMING BACK FROM HER HOMEPLACE SHE GOT THE JOB IN THIS FUCKING BORDELLO SHOP SHE WAS EVEN FUCKING HIDING THE WHOLE TRUTH ABOUT THE CONTENTS OF THE MESSAGE AND EVENTUALLY THIS IS THE AMOUNT OF HER FUCKING LOVE FOR ME!?!?!? REALLY???!? MAYBE AM I THE ONE WHO SHOULD BE RUNNING TOWARDS TO HER FEET AND LICKING THEM RIGHT NOW?!!?!? FOR FUCKING GOD'S SAKE!!!I was so MAD that she was telling him such FUCKING BULLSHIT. SHE DOESN'T RESPECT WHAT WE HAD OK. SHE DOESN'T RESPECT ME OK. SHE DOESN'T RESPECT HER FUCKING LIFE BY CHOOSING THE SHITTIEST WAY DEGRADING HER OWN FUCKING SELF. OK. SHE DIDN'T EVEN RESPECT THE FACT THAT HER LIFE WAS SAVED WHEN I SAW THAT HER EYES TURNED YELLOW AND SENT HER FOR FULL MEDICAL EXAMINATIONS (initially I thought it was liver damage I was partially right it was her gallbladder plus many more shit including a self-immune disease) OK. SHE DIDN'T EVEN RESPECT MY FUCKING FRIEND WHO HAD ALL THESE PROBLEMS AND STRUGGLING WITH HIS OWN SELF TELLING HIM F U C K I N G B U L L S H I T KNOWING THAT I WOULD EVENTUALLY KNOW.NOW I KNOW. I KNOW VERY WELL WHAT THE FUCK SHOULD I DO.On Friday she is expecting my friend to come instead she will see me and find out that the door is not just closed but LOCKED FOREVER and the FUCKING KEY WILL BE THROWN TO THE LIONS AND CROCODILES...Better late than ever. Now I see who you are. The time has come.I am expecting a really brutal end of this circle. No violence. No fights. Nothing. Just go there give her fucking stuff take back all what I have given to her (gifts for sure since she has nothing personal nor nothing that I really need) and just leave silently throwing the bomb that I have one way ticket to a faraway land (which is also true). A nice ""defensive grenade"" that will blow up exactly during the moment of glory. And definitely I will never ever look back.The end is near. The tide has already been sentenced. This paranormal activity has to end. Forever."
mitä-muuta-rakastaa%3f#blue     Are we actually here?Has it come to this?You’ve thrown me in the deep endAre you leaving me behind?‘Cause I’ve mapped the worldOut with our lovePlanned a life involving youNow you say I’m not enoughForget about the noiseJust listen to my voiceIf we let this goWhat else is there to love?If we let this goWill we ever know?
elämäni-tulessa#blue    One more circle is about to be completed. This night feels really strange. It's also the very first time during this autumn that my house feels completely empty and cold. I am totally stuck in listening Aurosonic non stop. I am preparing myself mentally and emotionally to face her in a few hours at her bordello working place but this time to end it up for the 3rd time which shall be the catalytic and final one. I have also some extra scenarios in my brain to travel back to my homeland but this time by ship. I want to disconnect completely from what's about to happen tomorrow. I was thinking also the idea of travelling to visit a friend from the army in the western part of the country. Maybe I will end up also in Italy. I have no definite plan it depends on my mood that shall be determined from what kind of storm I shall face.Everything's packed and ready. I feel chilled betrayed and most of all ruined. I truly wonder what fucking person did I have in my life these 18 months. Soon my birthday is coming back. I have no clue where I shall be during that time.Fuck. I never expected that this piece of shitty wreckage would be so tough to deal with. By flipping a coin first side is telling me that it will be rough as hell. Other side is telling me that it will be a typical procedure which will eventually end up in very bad emotions that will remain unshown and silent after all.Again what destiny shall reveal?
tuskani-jatkuu...#blue  Fuck. I sent a message some minutes ago that I am going to meet her some meters away from this bordello shop and she replied to me that her shift is over and that she has already left. She also told me that she will send me a message when she is almost done to come and get my stuff.I feel like a knife is crunching by spinning inside my heart. It hurts like hell. This comedy-parody-tragedy has come to such extent that is unbearable and intolerable.This night shall be a nightmare. I was hoping that this shit would be over now and eventually find some peace inside of me. This is way too much even for me dammit...
viimeinen-päivä#blue    I was thinking about my initial plan to postpone this shit up to Dec. 16th the very last night before I am gone to the north. I was thinking to send her a message about this. But on the other hand I am also thinking to wait for her message to end it as soon as possible... I am going to flip a coin. Heads I am doing it now. Tails on 16th.Tails... shit.
pettäminen#blue "Coin was correct I shouldn't have gone there. I betrayed my own destiny to find out what the hell would happen.The answer was that I wasted nearly 3 months of my life by arguing over and over again about the same shit as always.The final strike came when she told me ""I lost this wedding this bachelor party this event etc. because of you"". This flipped over my f... mind. It was a sudden death an instant kill of all my feelings for her up to today.I told her ""are these your last words?"" She said yes and verified them 3 times. I just left her to take all her shit away and get the fuck out of my house.All her life just rotated around pure bullshit. Some fucking cheap excuses to cover her own shithole.I am in blame for offering her a second chance. I should have followed what my destiny told me not to involve with her when i tossed that coin.Anyway. It's over. 19 months were just pure nonsense from my fucking life.Tomorrow it's a new day. I shall change my phonenumber plus throw away to the recycle bin all the crap that she gave to me during these last 3 months. I am also waiting for some friends to give away some more stuff that i don't want to throw away to their kids/siblings etc.The dawn of a new day. Without her. Free at last..."
